Word	Occurrences	Reference
Abobiga             	1	2PE 2:10
abobigalai          	8
abobigale           	1	2PE 2:1
abobigatagau        	1	EPH 5:28
abobigatale         	1	LUK 8:14
abobika             	3
aboe                	17
aboela              	3
aboele              	80
Aboele              	3
aboelete            	1	PHP 2:21
aboeo               	5
aboevilu            	1	MAT 2:18
aboi                	59
Aboi                	3
aboibaite           	1	MAT 7:17
aboilai             	1	1CO 10:5
aboili              	176
Aboili              	2
Aboisitolo          	1	1CO 9:2
aboitatale          	1	REV 18:19
aboivuvune          	1	REV 17:17
aboke               	3
abokealu            	1	MAT 6:29
abokeluage          	1	MAT 2:18
abola               	4
abolai              	200
Abolai              	5
abolaigau           	1	MRK 12:12
Abolasi             	2
Abolasiu            	3
abolate             	1	ACT 6:5
abolavie            	1	MAT 2:16
abole               	374
Abole               	39
aboleaele           	1	MAT 7:2
Aboleba             	1	2PE 2:13
Aboleke             	1	MAT 7:1
aboleke             	2
abolekeveo          	1	MAT 8:28
aboleto             	1	1CO 6:12
Aboleto             	1	2PE 3:3
aboli               	1	1CO 9:14
abolili             	1	GAL 2:14
abolioni            	1	REV 9:11
aboloi              	1	MRK 2:20
Abolonia            	1	ACT 17:1
Abolosi             	5
ABOLOSI             	1	TIT 3:13
Abolosiu            	1	1CO 3:6
aboluiavoe          	1	MAT 8:28
abomiga             	1	2TI 3:3
aboniveta           	1	MAT 2:18
Abosito             	1	2CO 12:12
abositoea           	1	REV 2:2
Abositolo           	45
abositolo           	25
abositoloe          	1	ACT 15:4
abositoloea         	9
Abositoloea         	5
Abositoloeala       	1	2CO 11:13
Abositoloeali       	1	MRK 4:10
abositoloeali       	2
abositoloeau        	1	ACT 8:14
abositoloele        	1	ACT 15:2
Abositolola         	1	ACT 5:2
abositolove         	1	MRK 3:14
Abositolove         	5
Abositolovea        	2
Abostolo            	2
abostoloea          	1	ACT 5:15
abota               	68
Abota               	1	1TI 5:21
abotai              	4
Abotateai           	1	MAT 9:1
abotota             	1	2PE 2:21
abou                	3
abouai              	1	ACT 15:6
abouele             	1	LUK 14:6
abougesege          	1	ACT 14:27
abouili             	1	1JN 2:6
abouli              	2
abouvu              	11
abovaevei           	1	MAT 8:30
abovai              	2
abtale              	1	2TI 2:8
abu                 	2
Abu                 	1	MAT 24:1
abuatita            	1	REV 16:19
abuita              	1	MRK 9:5
abuitiai            	1	MRK 14:30
abuitita            	3
abuti               	115
abutia              	1	TIT 3:10
abutiai             	1	2CO 1:15
abutiale            	3
abutialela          	1	JAS 1:8
abutialelu          	1	JAS 1:6
abutiali            	1	JHN 1:35
abutialive          	1	1CO 1:10
abutialivelu        	2
abutialu            	2
abutiasege          	1	MRK 14:30
abutiavale          	1	JAS 4:8
abutibutiai         	1	LUK 19:8
abutike             	1	MRK 10:42
ABUTIKEU            	1	REV 2:10
abutila             	1	LUK 22:38
abutile             	3
abutita             	149
abutita'            	1	JHN 4:40
abutitaea           	2
abutitake           	1	PHP 4:3
abutitakea          	1	REV 4:6
abutitala           	2
abutitale           	3
abutitalu           	1	PHP 4:2
abutitau            	6
abutitXXX           	1	REV 21:13
abutiu              	29
abutiule            	1	JHN 8:17
abuu                	1	MRK 8:8
abuutitXXXX         	1	REV 21:13
ada                 	160
ADA                 	1	REV 2:10
adabigei            	1	MAT 12:49
adae                	8
adaea               	1	MAT 4:24
adaeabe             	2
adaebe              	1	ACT 21:19
adake               	1	MRK 3:5
adakele             	1	MRK 8:6
adala               	13
Adalamiti           	1	ACT 27:2
adale               	52
adalega             	1	2TH 3:17
ADAMA               	1	MAT 10:15
Adama               	1	ROM 9:29
Adamu               	17
adamu               	1	ROM 5:17
Adamule             	2
adamulega           	1	1CO 15:22
adata               	14
adatale             	1	REV 14:9
adatela             	3
adatelaga           	1	1CO 4:12
adateta             	3
adau                	63
adavai              	2
adavaiteveo         	1	MAT 25:33
adave               	32
adavela             	9
adavele             	11
adaveti             	2
adaveu              	2
adavole             	1	MAT 25:2
adavoto             	1	LUK 19:40
Adi                 	2
Adoa                	2
Adolonikasi         	1	ROM 16:7
adu                 	16
aduu                	4
aduve               	1	MRK 4:14
ae                  	10
aea                 	1	JHN 18:15
aeamale             	1	LUK 9:58
aeavalu             	1	REV 17:4
aegei               	1	GAL 5:20
aegevealelu         	1	EPH 6:13
aela                	1	2CO 10:5
aele                	47
aeleala             	1	JHN 17:10
aelega              	1	JHN 17:8
aelela              	5
Aelela              	1	REV 2:29
aeleni              	2
aeleta              	2
aelete              	2
Aeloni              	1	JHN 3:23
Aeniasi             	1	ACT 9:33
aeo                 	15
aeoga               	1	MRK 9:17
aeogau              	1	JHN 17:7
aeveale             	3
aevege              	2
aevegei             	4
aevegelive          	16
aevegelu            	1	ACT 19:24
aevegeve            	1	EPH 4:32
aevei               	23
Aevei               	1	EPH 5:17
aevelive            	4
aevelivelu          	4
aevelu              	41
aeveva              	1	MRK 7:13
aevevale            	3
aevige              	1	MAT 5:33
aevigei             	13
aevigeve            	16
aevilivelu          	1	JAS 4:5
aeviva              	54
aevivale            	9
ag                  	1	MAT 25:32
aga                 	10
Agabasi             	2
agadita             	2
agai                	1	2PE 3:13
agati               	1	REV 21:19
agau                	2
age                 	339
AGE                 	1	REV 2:10
ageale              	2
agegei              	1	2TH 1:10
agei                	64
Agei                	1	REV 13:13
agelive             	2
agelu               	15
ageluaga            	1	HEB 10:24
agetee              	1	MAT 27:4
ageto               	5
ageve               	26
ageveo              	11
ageveotee           	1	MAT 25:33
ageveu              	1	MAT 6:3
agi                 	4
agiale              	50
agialeke            	1	PHP 2:6
agialela            	1	MAT 25:20
agialelu            	1	ACT 13:52
agiatisi            	1	LUK 14:28
Agibasi             	2
agie                	22
agiei               	1	MAT 8:32
agiesolila          	1	MRK 8:16
agiesolilu          	3
agiesolisito        	1	1TI 6:2
agievege            	1	ROM 9:26
agievei             	24
agievelu            	23
agieveva            	4
AGIEVEVA            	1	REV 2:9
agievigei           	1	ACT 16:16
agieviva            	1	REV 18:3
agige               	60
agigeale            	24
agigealea           	1	1CO 7:35
agigealela          	1	ACT 20:28
agigealelu          	2
agigegabo           	2
agigege             	11
AGIGEGE             	1	REV 2:9
agigei              	326
AGIGEI              	1	REV 2:10
agigeigavana        	1	MAT 10:18
agigeitai           	1	LUK 13:19
agigeitige          	1	GAL 4:3
agigeito            	1	PHP 1:28
agigeitoela         	1	REV 13:5
agigelive           	2
agigelivelu         	12
agigelu             	42
agigeto             	1	ROM 2:9
agigeva             	6
agigevale           	1	1TI 2:3
agigeve             	3
agigi               	1	MRK 12:2
agigilu             	1	REV 14:4
agiisi              	2
Agiliba             	1	ACT 26:27
Agilibau            	1	ACT 26:1
agilive             	2
agilivelu           	30
agiliveluga         	1	1PE 1:3
agilivelugau        	1	LUK 19:10
agiloho             	1	MAT 18:25
agilu               	44
agiluaga            	2
agiluga             	1	2CO 8:12
agino               	1	MAT 25:35
agisege             	1	REV 14:11
agisi               	652
Agisi               	2
agisilo             	1	MRK 12:4
agisiloi            	1	2CO 8:6
agisita             	1	LUK 11:22
agisitai            	4
agisito             	8
agiso               	2
agiva               	22
agivaga             	4
agivale             	51
agivaleke           	1	MAT 17:27
agive               	38
agiveve             	30
agiveveke           	1	PHP 4:11
agiveveu            	1	JHN 13:31
agivlivelu          	1	2CO 11:10
aglu                	1	LUK 19:15
agnale              	1	REV 21:24
ago                 	2
agolai              	1	MAT 20:28
agona               	1	MRK 2:21
Agubito             	12
agubito             	1	REV 11:8
Agubitoe            	3
Aguliba             	6
Agulibau            	6
Aguvitoe            	1	ACT 13:17
ah                  	2
Ah                  	3
Aha                 	1	MRK 15:29
ahati               	1	MAT 1:9
ahatiabo            	1	MAT 1:9
Ahuhuige            	1	MAT 12:7
ai                  	1370
Ai                  	27
aia                 	55
Aia                 	5
aiaa                	1	2TI 1:5
aiabe               	3
Aiabe               	1	REV 14:5
aiabele             	1	REV 9:19
aiadata             	1	HEB 1:10
aiai                	1	MAT 5:38
aiaiu               	1	LUK 1:43
Aiala               	1	MAT 12:50
aiala               	1	MRK 3:32
Aialake             	1	MAT 12:47
Aiale               	1	LUK 12:53
aiale               	2
aialu               	3
aiata               	13
Aiata               	1	MRK 7:10
aiatalu             	3
aiati               	3
aiau                	9
aiave               	7
Aiave               	1	ACT 16:1
aiaveala            	1	MRK 3:35
aiavei              	1	MRK 7:25
aiaveta             	9
aiaveti             	2
Aiaveu              	1	MAT 12:46
aiaveu              	17
aiaveve             	1	TIT 2:7
aibai               	1	REV 9:8
aibaiutuvuale       	1	REV 9:3
aie                 	1	MAT 15:17
aiee                	1	MAT 15:18
aigalila            	1	MAT 6:3
aige                	1	REV 3:3
aigenau             	1	MAT 18:8
aihanite            	3
aihaniteu           	1	REV 13:1
aihauke             	1	MRK 6:16
aii                 	115
Aii                 	5
aiiivile            	1	MAT 7:22
aiiloviu            	1	MAT 7:6
aike                	204
Aike                	5
Aikoniamu           	1	ACT 14:19
Aikoniamue          	3
aile                	29
ailenonaveu         	1	MAT 4:4
aio                 	1	MAT 10:19
Aisaia              	14
aisaia              	1	MAT 4:14
Aisaiau             	11
aisi                	1	REV 11:19
AISIKI              	2
Aisiki              	14
Aisikiu             	7
Aisiu               	1	REV 8:7
aite                	1	MAT 5:38
aiteta              	1	LUK 22:71
aitilu              	1	MAT 18:12
aito                	19
aiu                 	6
aiuvale             	1	REV 12:15
aivai               	1	MRK 4:22
aivale              	2
aive                	22
aiveai              	1	MAT 27:5
aivege              	1	ROM 16:25
aivei               	1	JHN 14:26
aivela              	1	REV 14:20
aivele              	9
aiveu               	4
aivolo              	1	REV 10:3
aivolovoloage       	1	REV 10:3
aivu                	2
akai                	1	REV 12:16
Akaia               	1	ROM 15:26
Akaikasi            	1	1CO 16:17
akalevai            	1	1JN 3:12
akalevaito          	1	1PE 3:4
akalevave           	1	1TH 5:15
akateai             	1	MAT 18:6
akatealuaga         	1	MAT 6:1
akavalivelu         	1	JHN 5:30
ake                 	7
akea                	2
akeage              	1	1JN 2:15
Akemada             	1	ACT 1:19
akeu                	1	MAT 18:32
Akitalasi           	1	MAT 2:22
Akitiumu            	1	MAT 1:14
akole               	1	JHN 11:32
akoma               	2
akomaea             	1	HEB 9:5
akomaeabe           	1	REV 9:9
akomau              	1	LUK 13:34
akou                	1	MAT 25:21
akovu               	1	MAT 11:28
akuialai            	1	MAT 18:14
Akuila              	3
akuila              	1	2TI 4:19
Akuilata            	1	ACT 18:18
Akuilau             	3
al                  	1	REV 11:18
ala                 	36
Alabia              	2
alage               	2
alakea              	1	JHN 1:13
alakou              	1	MRK 3:11
alale               	1	MAT 14:25
Alamu               	2
alaoloai            	1	2CO 10:16
alau                	54
alava               	7
alavage             	35
Alavage             	1	REV 6:9
alavagelive         	1	ROM 12:21
alavai              	24
alavakitaeage       	1	LUK 24:31
alavale             	7
alavalive           	1	ROM 6:13
alavalivelu         	5
alavalu             	20
alavasege           	8
alavasolisi         	1	ACT 12:14
alavave             	1	MAT 4:17
alave               	1	MAT 20:33
alavi               	1	2TH 3:4
alavia              	2
alaviage            	2
alaviai             	3
alaviale            	1	MAT 6:6
alavialu            	9
alavige             	1	MRK 15:4
alaviva             	1	ACT 2:15
Albias              	1	MRK 2:14
ale                 	438
Ale                 	21
alea                	3
Aleba               	4
aleba               	4
alebele             	1	2CO 9:4
alee                	1	MAT 24:22
aleke               	11
alekea              	1	MAT 2:20
alekelevaeavai      	1	MRK 6:25
alekeu              	2
Alekisada           	1	ACT 19:33
Alekisalenida       	1	MRK 15:21
Alekisanda          	1	ACT 4:6
Alekisandia         	1	ACT 27:6
Alekisandiale       	1	ACT 28:11
Alekisdalia         	1	ACT 18:24
Alekisianda         	1	1TI 1:20
Alekisidaliansi     	1	ACT 6:9
alela               	1	MAT 19:4
alelu               	7
aleta               	1	2TH 3:5
Aletasi             	1	2CO 11:32
aletatavage         	1	MAT 24:46
aleto               	13
Aleto               	2
aletou              	1	1CO 10:16
aleu                	3
aleuga              	1	REV 14:8
alevalau            	1	ROM 1:32
Alexander           	1	2TI 4:14
ali                 	6
alia                	3
aliage              	1	1CO 11:19
aliagei             	1	LUK 12:52
aliai               	10
alialiveluga        	1	LUK 12:51
alialuaga           	1	MRK 3:26
aligei              	3
aligelivelu         	1	1CO 12:25
aligelu             	1	1CO 1:13
aligeva             	2
aligevelu           	1	TIT 3:10
Alimatia            	3
alio                	34
Alio                	2
alioage             	1	LUK 7:44
alioagei            	1	MAT 24:51
alioai              	5
alioale             	1	2TI 1:4
alioalu             	2
alioasege           	1	LUK 7:38
Aliobagasi          	1	ACT 17:19
alioige             	1	JHN 11:33
alioiva             	3
alioivalea          	1	LUK 6:21
aliokava            	1	MAT 11:17
aliokavage          	1	LUK 7:32
aliokavagei         	1	LUK 13:28
aliokavai           	8
aliokavalu          	1	ACT 20:37
aliokavave          	1	LUK 6:25
aliota              	2
aliou               	2
aliova              	1	JHN 20:15
Alisatakasi         	1	ACT 20:4
Alisitakasi         	1	ACT 19:29
Alistakasi          	2
alitakasi           	1	PHM 1:24
alive               	36
alivebele           	1	2PE 2:19
alivelu             	104
alivelubele         	4
aliveluga           	1	1PE 2:21
aloale              	1	MRK 1:24
Alobiasi            	1	LUK 6:15
Alobiesi            	3
aloesi              	1	JHN 19:39
alogo               	4
alogoto             	1	MAT 13:13
aloho               	4
Aloi                	1	2TI 4:13
alolai              	1	MAT 27:4
alolo               	11
aloloa              	1	ROM 15:19
aloloagei           	1	JHN 18:20
aloloai             	45
aloloaive           	1	MRK 1:14
aloloale            	1	GAL 1:11
aloloalu            	1	JHN 18:20
aloloasege          	1	ACT 15:12
Aloloavale          	1	MRK 4:20
aloloavelu          	1	MRK 1:39
aloloeabe           	1	ACT 17:11
aloloige            	6
aloloigei           	1	LUK 21:37
aloloiva            	1	GAL 1:12
aloloivale          	1	MRK 2:26
alolote             	1	GAL 1:7
alolotisi           	1	MAT 6:5
alolove             	2
alolovetalu         	1	JHN 18:19
alouale             	1	LUK 22:9
alte                	1	LUK 18:17
alu                 	365
alu'                	1	JHN 11:41
aluaga              	55
aluagaba            	1	LUK 9:4
aluage              	1	ACT 8:21
aluai               	2
aluga               	1	ROM 8:13
alui                	1	MAT 5:18
aluia               	3
alumu               	1	ROM 11:16
alumuiabea          	1	LUK 8:6
alumuve             	2
alumuveu            	1	ROM 11:16
aluvilita           	1	MAT 12:47
aluvita             	9
alva                	1	MRK 4:14
ama                 	19
amaeabele           	1	MRK 6:55
amagedoni           	1	REV 16:16
amakini             	4
amakiniabe          	4
amakiniala          	1	MRK 3:35
amakinilu           	1	1TI 5:2
amakiniu            	2
amakiniule          	1	JHN 11:23
amakinive           	3
amakiniveu          	1	JHN 11:39
amalihai            	1	MAT 6:6
amauliavai          	2
amauligeveva        	1	JHN 12:40
ame                 	5
amea                	33
Amea                	1	ACT 23:23
amei                	1	JAS 4:12
Amemila             	1	MAT 5:43
Amen                	3
Ameni               	3
AMENI               	4
ametaisiti          	1	REV 21:20
ami                 	8
amia                	4
amifata             	1	MRK 3:25
amiga               	148
Amiga               	1	GAL 6:4
amigabuliale        	1	MRK 14:52
amigala             	3
amigalau            	6
amigale             	1	MAT 18:6
amigalu             	55
amigalugau          	1	2CO 8:20
amigaluiva          	1	MRK 13:23
amigata             	3
amigatelu           	2
amigatisi           	2
amigativa           	1	MAT 23:3
amigaula            	1	MAT 23:25
amigavai            	2
amikini             	1	JAS 2:15
aminadabu           	2
Aminadabu           	2
Amoni               	1	MAT 1:10
Amoniu              	1	MAT 1:10
amu                 	7
Amu                 	1	HEB 5:13
amuai               	1	LUK 12:20
amuale              	8
amualeke            	1	2TI 1:6
amualelu            	1	MRK 9:41
amue                	2
amuelete            	1	MAT 21:16
amuge               	9
amugei              	1	LUK 18:12
amui                	28
amuii               	2
amulei              	1	LUK 13:34
amulivelu           	5
amulu               	9
amuva               	3
amuvai              	2
amuvavuale          	1	MRK 13:17
Ana                 	1	LUK 2:36
anabae              	1	ACT 27:43
anai                	1	JAS 3:12
anaka               	55
Anaka               	3
anakaeabele         	2
anakake             	1	ACT 3:2
anakala             	3
anakale             	16
anakau              	4
anakauvavale        	1	MAT 24:33
anakave             	4
Anakave             	1	REV 21:15
anakavele           	2
Ananaeasi           	1	ACT 9:13
Ananaeasiu          	4
Ananaiasi           	5
Ananaiasiu          	2
Ananaisi            	1	ACT 5:3
anani               	1	JAS 3:12
ananka              	2
anankale            	1	ACT 21:30
Anasi               	2
Anasiu              	1	JHN 18:24
Anau                	1	LUK 2:37
anavege             	1	ACT 10:8
ANDE                	2
andeleti            	1	MAT 13:8
ane                 	19
Aneabe              	1	REV 15:3
aneelu              	1	REV 10:1
ANELU               	11
Anelu               	102
anelu               	76
anelua              	1	MAT 25:41
Aneluale            	1	LUK 15:7
Aneluia             	15
aneluia             	5
ANELUIA             	5
aneluiabeia         	1	REV 14:10
aneluiabeta         	1	REV 3:5
Aneluiala           	1	MAT 13:39
ANELUIAla           	1	LUK 15:10
aneluiale           	1	MAT 24:31
Aneluiale           	2
ANELUIAle           	1	LUK 15:9
ANELUiale           	1	LUK 15:10
aneluiali           	4
Anelula             	1	JHN 12:29
anelulau            	1	REV 2:28
Aneluti             	2
Aneluve             	1	HEB 12:22
aneluve             	1	REV 12:9
Anenluiabe          	1	1TI 5:21
aneve               	1	REV 2:16
ani                 	1	2TI 3:2
Aniasi              	1	ACT 4:6
anibisi             	1	2TH 3:3
'aniga'             	1	2TI 2:9
anika               	5
anio                	1	REV 18:13
Anitioka            	6
Anitiokae           	17
Anitiokala          	1	ACT 14:21
Anitiokata          	1	ACT 14:19
anivaga             	1	LUK 2:37
anivagaive          	1	LUK 18:12
anoe                	1	REV 2:1
antibasi            	1	REV 2:12-13
antipasti           	1	REV 2:12-13
ao                  	1	JHN 19:41
aoe                 	1	JHN 6:12
aoili               	1	HEB 10:33
aoivaga             	1	LUK 2:46
aolai               	1	MAT 5:45
aonega              	1	GAL 4:11
aota                	1	HEB 11:29
Arabia              	1	GAL 1:17
araea               	2
ariuga              	1	REV 13:5
as                  	1	2CO 7:2
asa                 	1	MAT 1:7
Asa                 	3
asavage             	1	2CO 9:4
asege               	44
asegea              	1	MAT 6:8
aseleavai           	1	2PE 3:17
Asikitasi           	1	ROM 16:14
asiliale            	1	HEB 9:4
aso                 	58
Asodasi             	1	ACT 8:40
asoliale            	4
asolige             	8
asolilu             	10
asoliluaga          	1	LUK 16:12
asolisege           	2
asolisi             	2
asolisito           	4
asoliva             	5
asolivale           	1	1PE 3:5
asolive             	1	3JN 1:4
Asosi               	1	ACT 20:13
Asosie              	1	ACT 20:14
at                  	9
At                  	1	TIT 1:16
ata                 	3592
Ata                 	241
ATA                 	5
atabahaaea          	1	HEB 9:28
ATABALA             	1	REV 2:9
atabe               	17
Atabe               	3
Atabeaba            	1	MRK 2:21
atabeale            	1	1PE 3:20
atabeu              	77
Atabeu              	17
Atabeuba            	2
atabeuba            	2
atabeudubu          	1	REV 15:8
atabeule            	1	REV 6:6
Ataca               	1	REV 2:27
atae                	11
Atae                	1	LUK 6:26
ataea               	666
Ataea               	54
ataeaba             	1	2CO 3:7
ataeabe             	1	ROM 14:3
ataeabea            	1	LUK 6:23
ataeaevilu          	1	MAT 9:31
ataeake             	2
ataeala             	27
ataealaba           	1	MAT 9:12
ataeale             	125
Ataeale             	14
ataeali             	23
ataealoi            	1	ACT 14:20
ataeau              	80
Ataeau              	6
Ataeauba            	1	MAT 7:16
ataeauke            	1	MAT 23:5
ataela              	2
ataele              	44
ataeu               	2
ataga               	80
Ataga               	3
atagae              	1	JHN 3:21
atagaeabe           	1	LUK 19:40
atagaeala           	1	REV 21:23
atagage             	4
atagai              	25
atagaii             	1	MAT 6:22
atagale             	29
atagalega           	1	JHN 11:9
atagaleu            	2
atagalivelu         	2
atagaliveu          	1	REV 21:23
atagalu             	2
atagata             	1	LUK 21:27
atagate             	3
atagatige           	1	JHN 3:20
atagatigei          	1	JHN 1:9
atagau              	22
atagauba            	1	2CO 6:14
atagaule            	1	JHN 3:20
atagave             	13
Atagave             	1	REV 21:11
atagavele           	8
atagaveu            	4
atagaveule          	2
atage               	2
atahai              	1	MRK 8:15
atai                	1	2PE 3:15
ataia               	1	MAT 11:20
ataiebeu            	1	MRK 13:20
ataigali            	1	MAT 12:44
ataivite            	1	MRK 5:7
atakava             	1	2CO 5:16
atake               	46
Atake               	3
atakea              	7
Atakea              	1	1JN 2:19
atakeale            	1	JHN 10:22
atakeali            	1	2CO 6:14
Atakelake           	1	2TI 1:9
atakeu              	3
atakeule            	1	MRK 9:41
atako               	4
Atako               	1	MRK 11:17
atakou              	1	MAT 9:3
atala               	41
atalai              	35
Atalai              	2
atalalaea           	1	1CO 10:15
atale               	8
Atalea              	1	HEB 3:18
ataleal             	1	MRK 5:15
ataleke             	3
atalekeu            	1	MAT 9:7
ataleu              	1	JHN 9:9
atali               	1	LUK 17:1
Atalia              	2
atalu               	5
atalugau            	1	MRK 2:27
atamoeagaea         	1	ACT 14:11
atao                	1	ACT 16:17
ataoleu             	1	MAT 12:48
ATAOLIE             	1	REV 2:9
atara               	1	REV 17:2
atata               	3
atate               	41
atatea              	5
atateala            	1	1JN 2:6
atateale            	7
atateali            	3
atatebele           	1	JHN 17:14
atatebeu            	1	HEB 7:13
atatela             	1	LUK 11:51
atatelaigau         	1	JHN 1:11
atatele             	5
atateo              	1	MRK 10:4
atateta             	1	GAL 3:16
atateu              	1	REV 5:3
atau                	289
Atau                	15
ataudua             	1	MAT 9:12
ataule              	2
atauleba            	1	2CO 4:6
atava               	1	JHN 10:9
atavadeu            	4
atavadeuia          	1	MRK 3:35
atavai              	1	JHN 7:51
atave               	55
atavea              	4
ataveale            	1	ROM 4:8
ataveali            	2
atavelai            	1	ROM 8:27
ataveta             	1	GAL 5:15
atavile             	1	ROM 4:17
atavole             	4
Atavole             	1	MAT 25:15
atavolea            	3
atavoleale          	1	MAT 17:25
atavoleu            	3
ataza               	1	REV 2:19
Atenesila           	1	ACT 17:15
Ateni               	2
Atenisi             	2
ateto               	2
atgau               	1	LUK 18:8
ati                 	30
Ati                 	1	REV 1:12
atiale              	1	MAT 20:14
Atibatasie          	1	ACT 23:31
ATIMASI             	1	TIT 3:12
atiu                	1	REV 2:1
atu                 	1	REV 14:6
Atua                	1	REV 1:13
atutita             	1	LUK 9:33
au                  	2368
Au                  	168
AU                  	1	REV 2:10
aua                 	1	MAT 18:6
aualivelu           	1	LUK 16:2
Auba                	1	MAT 12:19
auba                	6
aubae               	1	1TI 3:3
augogo              	1	MRK 1:6
aui                 	2
aukaeavalu          	1	JHN 12:40
aukalu              	2
aukave              	1	HEB 5:12
aukeu               	1	MAT 12:23
aukololu            	1	1JN 5:16
Aulaa               	1	MRK 12:10
aulai               	1	2TH 1:11
aulavai             	1	MAT 9:28
aule                	530
Aule                	34
auleba              	2
aulekeu             	1	MAT 9:17
aulela              	1	1PE 5:6
auli                	4
aulibedoea          	1	REV 12:5
aulita              	4
Aulo                	1	2TH 3:6
auloi               	1	ACT 7:35
aulu                	1	REV 17:7
auMama              	1	MAT 11:25
aumunana            	1	MAT 12:24
autaunie            	1	MRK 6:1
autelona            	1	MAT 25:31
auu                 	89
Auu                 	6
auvo                	1	MAT 1:14
auvou               	1	GAL 4:6
auvu                	15
Auvu                	1	MRK 4:10
auvuvune            	1	2TH 1:7
ava                 	152
Ava                 	1	2TI 2:20
avabuiavai          	1	MAT 25:25
Avadadi             	2
avadeu              	5
avadeula            	1	LUK 2:48
avadeuluga          	4
avaea               	1	LUK 15:7
avaga               	14
avagaia             	1	REV 6:4
avagalage           	1	MAT 25:44
avage               	3
avai                	33
avaii               	1	2TI 1:18
avala               	1	LUK 23:17
avalale             	1	MAT 9:31
avale               	503
AVALE               	1	REV 2:9
Avale               	1	REV 20:13
avalea              	5
avaleai             	1	MRK 6:44
avaleataea          	1	MAT 9:36
avalekateai         	1	MAT 6:16
avaleke             	7
avalela             	5
avalelau            	1	1CO 9:9
avalelu             	4
avalivelu           	2
avalu               	3
avaluaga            	1	MAT 6:7
Avao                	1	MAT 20:21
avavaga             	1	LUK 22:44
avave               	4
Avavuge             	1	ACT 10:43
avde·               	1	REV 2:17
Ave                 	14
ave                 	325
avee                	1	2PE 3:7
avege               	1	REV 13:14
avei                	2
aveive              	1	1JN 1:2
Avekole             	1	2TI 3:1
avela               	1	JHN 9:39
Avelikae            	1	ACT 27:17
avelu               	3
Avelve              	2
aveo                	3
aveoel              	1	GAL 3:24
aveta               	1	GAL 4:2
avete               	1	ACT 2:11
aveto               	1	JHN 8:52
aveu                	1	HEB 13:5
aveve               	1233
Aveve               	62
AVEVE               	1	REV 2:9
avevea              	3
aveveabe            	110
Aveveabe            	2
aveveabeke          	1	MAT 16:6
Aveveabeke          	1	TIT 1:12
aveveabela          	2
aveveabele          	4
Aveveabeta          	1	2TI 3:9
aveveabeu           	7
aveveabeule         	3
Aveveabeule         	1	REV 14:13
avevebe             	22
avevebeu            	1	2CO 7:2
avevedua            	2
aveveisute          	1	REV 3:19
avevekateale        	1	REV 16:7
aveveke             	7
avevekele           	1	1CO 1:20
avevela             	10
avevelate           	1	EPH 4:14
avevele             	20
aveveta             	3
avevete             	41
aveveteale          	1	REV 11:14
avevetele           	3
aveveteta           	1	1JN 3:1
aveveti             	1	JAS 2:21
AVEVETOELA          	1	REV 2:9
Avevetoela          	1	REV 9:20
aveveu              	12
aveveule            	3
aveveve             	68
Aveveve             	3
aveveveba           	1	1JN 3:2
avevevetoela        	1	REV 18:5
aveveveu            	1	1JN 2:11
Avibolisi           	1	ACT 17:1
avitu               	1	JHN 3:2
avivale             	1	LUK 18:2
avo                 	18
avoe                	2555
Avoe                	8
AVOE                	2
avoe-loo            	1	REV 11:17
avoeda              	2
